train_number,train_name,train_type,source_code,dest_code,running_days,total_route_distance_km,total_halts
53173,Sealdah Lalgola Passenger,Pass,SDAH,LGL,"SUN,MON,TUE,WED,THU,FRI,SAT",227,54
53174,Lalgola Sealdah Passenger,Pass,LGL,SDAH,"SUN,MON,TUE,WED,THU,FRI,SAT",227,54
53175,Sealdah Lalgola Passenger,Pass,SDAH,LGL,"SUN,MON,TUE,WED,THU,FRI,SAT",227,54
53177,Sealdah Lalgola Fast Passenger,Pass,SDAH,LGL,"SUN,MON,TUE,WED,THU,FRI,SAT",227,54
53178,Lalgola Sealdah Fast Passenger,Pass,LGL,SDAH,"SUN,MON,TUE,WED,THU,FRI,SAT",227,54
53179,Kolkata Lalgola Passenger,Pass,KOAA,LGL,"SUN,MON,TUE,WED,THU,FRI,SAT",227,53
53180,Lalgola Kolkata Passenger,Pass,LGL,SDAH,"SUN,MON,TUE,WED,THU,FRI,SAT",227,54
53181,Lalgola Passenger,Pass,SDAH,LGL,"SUN,MON,TUE,WED,THU,FRI,SAT",227,54
53203,Patna Buxar Passenger,Pass,PNBE,BXR,"SUN,MON,TUE,WED,THU,FRI,SAT",117,17
53204,Buxar Patna Passenger,Pass,BXR,PNBE,"SUN,MON,TUE,WED,THU,FRI,SAT",117,25
53205,Patna Buxar Passenger,Pass,PNBE,BXR,"SUN,MON,TUE,WED,THU,FRI,SAT",117,17
53206,Buxar Patna Passenger,Pass,BXR,PNBE,"SUN,MON,TUE,WED,THU,FRI,SAT",117,17
53207,Islampur Buxar Passenger,Pass,IPR,BXR,"SUN,MON,TUE,WED,THU,FRI,SAT",181,37
53214,Mughal Sarai Buxar Passenger,Pass,MGS,BXR,"SUN,MON,TUE,WED,THU,FRI,SAT",94,16
53216,Mughal Sarai Buxar Passenger,Pass,MGS,BXR,"SUN,MON,TUE,WED,THU,FRI,SAT",94,16
53218,Mughal Sarai Buxar Passenger,Pass,MGS,BXR,"SUN,MON,TUE,WED,THU,FRI,SAT",94,16
53219,Buxar Mughal Sarai Passenger,Pass,BXR,MGS,"SUN,MON,TUE,WED,THU,FRI,SAT",94,17
53227,Darbhanga-Patna Kamala Ganga Fast Passenger,Pass,DBG,PNBE,"SUN,MON,TUE,WED,THU,FRI,SAT",196,39
53228,Kamla Ganga Fast Passenger,Pass,PNBE,DBG,"SUN,MON,TUE,WED,THU,FRI,SAT",197,37
53229,Rajgir Danapur Passenger,Pass,RGD,DNR,"SUN,MON,TUE,WED,THU,FRI,SAT",108,25
53230,Danapur Rajgir Passenger,Pass,DNR,RGD,"SUN,MON,TUE,WED,THU,FRI,SAT",108,25
53231,Danapur Rajgir Passenger,Pass,DNR,RGD,"SUN,MON,TUE,WED,THU,FRI,SAT",108,25
53232,Rajgir Danapur Passenger,Pass,RGD,DNR,"SUN,MON,TUE,WED,THU,FRI,SAT",108,25
53321,ASANSOL DHANBAD PASS,Pass,ASN,DHN,"SUN,MON,TUE,WED,THU,FRI,SAT",59,13
53322,Dhanbad-Asansol Passenger MEMU,Pass,DHN,ASN,"SUN,MON,TUE,WED,THU,FRI,SAT",59,13
53343,NSCB GOMOH - CHOPAN Passenger,Pass,GMO,CPU,"SUN,MON,TUE,WED,THU,FRI,SAT",455,62
53344,CHOPAN - NSCB GOMOH Passenger,Pass,CPU,GMO,"SUN,MON,TUE,WED,THU,FRI,SAT",455,62
53345,CHOPAN - ALLAHABAD Passenger,Pass,CPU,ALD,"SUN,MON,TUE,WED,THU,FRI,SAT",223,24
53346,ALLAHABAD - CHOPAN Passenger,Pass,ALD,CPU,"SUN,MON,TUE,WED,THU,FRI,SAT",223,24
13071,Jamalpur Express,Exp,HWH,JMP,"SUN,MON,TUE,WED,THU,FRI,SAT",467,78
18235,Bilaspur Express Cum Passenger,Exp,BPL,BSP,"SUN,MON,TUE,WED,THU,FRI,SAT",717,81
18409,Sri Jagannath Express,Exp,HWH,PURI,"SUN,MON,TUE,WED,THU,FRI,SAT",502,102
18645,East Coast Express,Exp,HWH,HYB,"SUN,MON,TUE,WED,THU,FRI,SAT",1592,259
19306,Shipra Express,Exp,HWH,INDB,SUN,1754,239
22308,Bikaner-Howrah SF Express,SF,BKN,HWH,"SUN,WED,SAT",1882,267
23040,Rajgir Howrah Passenger,Pass,RGD,HWH,"SUN,MON,TUE,WED,THU,FRI,SAT",552,98
37355,Howrah-Tarakeswar Local,MEMU,HWH,TAK,"SUN,MON,TUE,WED,THU,FRI,SAT",57,21
38442,Panskura Howrah EMU,MEMU,PKU,HWH,"SUN,MON,TUE,WED,THU,FRI,SAT",71,25
43891,Avadi Pattabiram East EMU,MEMU,AVD,PRES,"SUN,MON,TUE,WED,THU,FRI,SAT",10,4
51816,Agra Jhansi Passenger,Pass,AGC,JHS,"SUN,MON,TUE,WED,THU,FRI,SAT",216,24
53049,Howrah Mokameh Passenger,Pass,HWH,MKA,"SUN,MON,TUE,WED,THU,FRI,SAT",455,81
53323,SINDRI TOWN DHANBAD PASSSENGE,Pass,SNDT,DHN,"SUN,MON,TUE,WED,THU,FRI,SAT",27,6
53324,Dhanbad Sindri Town Passenger,Pass,DHN,SNDT,"SUN,MON,TUE,WED,THU,FRI,SAT",27,6
53325,Sindri Town Dhanbad Passenger,Pass,SNDT,DHN,"MON,TUE,WED,THU,FRI,SAT",27,6
53326,Dhanbad Sindri Town Passenger,Pass,DHN,SNDT,"MON,TUE,WED,THU,FRI,SAT",27,6
53327,Sindri Town Gomoh Passenger,Pass,SNDT,GMO,"SUN,MON,TUE,WED,THU,FRI,SAT",56,11
53328,Gomoh Sindri Town Passenger,Pass,GMO,SNDT,"SUN,MON,TUE,WED,THU,FRI,SAT",56,11
53333,Sindri Town Dhanbad Passenger,Pass,SNDT,DHN,"SUN,MON,TUE,WED,THU,FRI,SAT",27,6
53334,DHANBAD SINDRI TOWN PASSENGER,Pass,DHN,SNDT,"SUN,MON,TUE,WED,THU,FRI,SAT",27,6
53336,Ranchi Dhanbad Passenger,Pass,RNC,DHN,"SUN,MON,TUE,WED,THU,FRI,SAT",161,27
53337,Garhbeta Ranchi Passenger,Pass,GBA,RNC,"SUN,MON,TUE,WED,THU,FRI,SAT",269,36
53338,Ranchi Garhbeta Passenger,Pass,RNC,GBA,"SUN,MON,TUE,WED,THU,FRI,SAT",269,35
53339,Dhanbad Chandrapura Passenger,Pass,DHN,CRP,"MON,TUE,WED,THU,FRI,SAT",34,10
53340,Chandrapura Dhanbad Passenger,Pass,CRP,DHN,"MON,TUE,WED,THU,FRI,SAT",34,10
