station_code,station_name,state,railway_zone,address,latitude,longitude,is_valid_coordinate,is_test_dummy_record,metro_cluster
MRE,MANAURI,UNKNOWN,UNKNOWN,,25.470171,81.662491,True,False,OTHER
BMU,BAMHRAULI,UNKNOWN,UNKNOWN,,25.44494,81.741641,True,False,OTHER
SFG,SUBEDARGANJ,UNKNOWN,UNKNOWN,,25.439879,81.789897,True,False,OTHER
KLX,KOLAKALUR,UNKNOWN,UNKNOWN,,16.295186,80.627521,True,False,OTHER
CLVR,CHILUVUR,UNKNOWN,UNKNOWN,,16.379558,80.616908,True,False,OTHER
KVR,KOVVUR,UNKNOWN,UNKNOWN,,17.007084,81.726495,True,False,OTHER
GVN,GODAVARI,UNKNOWN,UNKNOWN,,17.007707,81.77083,True,False,OTHER
KJKD,KANJIKODE,UNKNOWN,UNKNOWN,,10.800919,76.755316,True,False,OTHER
SNKR,Sanka,West Bengal,SER,"Garh Dhrubeswar, West Bengal",23.52693,86.616164,True,False,OTHER
VNK,Binaiki,Madhya Pradesh,SECR,"Binaiki Railway Station, Madhya Pradesh",22.72003,79.902424,True,False,OTHER
GCN,Gocharan,West Bengal,ER,"Gocharan, West Bengal",22.277738,88.45837,True,False,OTHER
SEY,Seoni,Madhya Pradesh,SECR,"Seoni, Madhya Pradesh",22.075431,79.545769,True,False,OTHER
SDMD,Sudamdih,West Bengal,SER,"Jairampur More to Baliapur, West Bengal",23.654478,86.44032,True,False,OTHER
PCLS,PCLS,UNKNOWN,UNKNOWN,,0.0,0.0,False,False,OTHER
BJU,BARAUNI JN,UNKNOWN,UNKNOWN,,25.461768,85.988748,True,False,OTHER
DMO,DAMOH,UNKNOWN,UNKNOWN,,23.836693,79.432246,True,False,OTHER
ADD,ADAS ROAD,UNKNOWN,UNKNOWN,,22.486628,73.034694,True,False,OTHER
CLC,Chalala,Gujarat,WR,"Chalala, Gujarat",21.415559,71.162242,True,False,OTHER
RNO,RANOLI,UNKNOWN,UNKNOWN,,22.405252,73.112266,True,False,OTHER
HP,HARIPUR,Rajasthan,NWR,"Pali, Rajasthan",26.012397,74.024928,True,False,OTHER
KUGT,Kumarghat,Tripura,NFR,"Kumarghat, Tripura",24.15063,92.034833,True,False,OTHER
AWB,AURANGABAD,Maharashtra,SCR,"Aurangabad, Maharashtra",19.859276,75.310646,True,False,OTHER
